id,text,,speaker,imageability,unexpectedness_avg_glove,unexpectedness_min_glove,unexpectedness_avg_word2vec,unexpectedness_min_word2vec,polarity_senti_ws,polarity_text_blob,subjectivity_huggingface,vader_positive,vader_neutral,vader_negative,vader_compound,res_approach_1,old_label,label,Comments
11090,"Die Miliz hat an Schlagkraft, an Einsatzfähigkeit und an Mobilität drastisch verloren.",860,Dr. Harald Troch,2.625,0.3782827650160811,0.069479830608181,0.3420729050830969,0.1880174455127225,0.0,-1.0,0.9365148544311525,0.165,0.549,0.287,-0.25,1,,hyperbolic,
11091,"Die Ausführungen einiger Redner insbesondere der ÖVP zeugen von unglaublicher Unwissenheit oder von einem Schönreden, das gerade beim Thema Landesverteidigung und Sicherheit unglaublich unverantwortlich ist.",863,Dr. Harald Troch,2.4996000000000005,0.2917744976774214,-0.0611614069912417,0.2823852870241428,-0.0378142204427711,0.014792,-1.0,0.9380929470062256,0.109,0.728,0.162,-0.1531,1,non hyperbolic,non hyperbolic,
11092,"Das Buch ist eigentlich für Kollegen Brandstätter , aber dazu komme ich noch; ich kann es ja vorziehen.",901,Dr. Christian Stocker,1.6846666666666663,0.3877024780764198,-0.018019231741787,0.2802110995750043,0.0189337672494517,0.0,0.7,0.8994948267936707,0.0,1.0,0.0,0.0,1,,non hyperbolic,
11093,"Es braucht auch barrierefreie Polizeiinspektionen, denn es nützt nichts, wenn jemand Hilfe braucht, aber keine Hilfe rufen kann, weil er die Polizeiinspektion nicht erreichen kann, weil diese geschlossen oder nicht barrierefrei zugänglich ist.",970,Mag. Ulrike Fischer,2.0548787878787875,0.439266325470373,-0.0204178344997802,0.3697993262077049,0.1174328677304715,-0.0062727272727272,0.0,0.7613775134086609,0.042,0.674,0.284,-0.826,1,,non hyperbolic,
11094,Danke schön.,1011,"Hermann Weratschnig, MBA MSc",2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11095,"Die schlechte Nachricht ist allerdings, dass sich unser Pensionssystem seither kaum verändert hat.",1018,Claudia Plakolm,1.804384615384616,0.3073619835609194,-0.2120648300408303,0.2705360202048661,0.0356586174927558,-0.059276923076923,-0.5,0.9329252243041992,0.0,0.8,0.2,-0.4588,1,,non hyperbolic,
11096,"Beschlüsse, wie die Wiedereinführung der abschlagsfreien Frühpension, sind da genau der falsche Weg , und da schaue ich zu den Kolleginnen und Kollegen der SPÖ und der FPÖ.",1028,Claudia Plakolm,2.260321428571429,0.401607700080218,-0.0630404779583281,0.2982363883514869,-0.0244678314256972,-0.0272071428571428,-1.0,0.9046273827552797,0.075,0.853,0.072,0.0258,1,non hyperbolic,non hyperbolic,
11097,Danke schön.,1035,Claudia Plakolm,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11098,"Ich kann mich aber auch erinnern, dass in der Regierung Kurz/Strache der Bundeskanzler selbst die Diskussion über die Abschaffung der Notstandshilfe losgetreten und Dinge wie Zugriff auf das Privatvermögen et cetera, et cetera eingebracht hat.Wir alle wissen ganz genau: Würde die Notstandshilfe abgeschafft werden, würden die Menschen aus der Arbeitslosigkeit direkt in die Sozialhilfe und damit in die absolute Armut abrutschen.",1042,Rudolf Silvan,2.449754098360656,0.3390997640555043,-0.2475513948176991,0.3006063945913217,-0.0997217838052501,0.0039508196721311,0.7,0.9240962266921996,0.116,0.704,0.18,-0.6887,1,,non hyperbolic,
11099,"Österreich ist schon oft durch Krisen gegangen, und auch Menschen, die nach 1945 in Pension gegangen sind, haben ihre Pension erhalten.Ich habe bei dem Redebeitrag der Kollegin gerade den Eindruck gehabt, man muss sich entschuldigen, dass man 24 Jahre in Pension ist.",1057,Rudolf Silvan,2.494023809523809,0.3982999027784685,-0.1363482936497137,0.262104411670737,-0.0143803251931396,-0.0086214285714285,1.0,0.7388532161712646,0.0,0.923,0.077,-0.5267,1,non hyperbolic,non hyperbolic,
11100,Danke schön.,1062,Rudolf Silvan,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11101,"Da ist die Problemverortung also ganz klar im Umfeld anzuschauen, also die Barrieren, die aus der Gesellschaft kommen und jemanden daran hindern, teilzuhaben.",1078,Heike Grebien,2.451304347826087,0.4666549813774379,0.12602492739815,0.2818566487365201,-0.139998012245638,0.0,0.15,0.9237071871757508,0.092,0.84,0.068,0.1531,1,non hyperbolic,non hyperbolic,
11102,"Das AMS bemüht sich redlich, aber wie wir wissen, hindern die Stereotype über Menschen mit Behinderungen halt auch manche Firmen daran, sie anzustellen.",1085,Heike Grebien,1.560304347826087,0.3387872027365946,0.0042756514136319,0.2816728034457135,0.0292681691224365,-0.0155565217391304,-0.3333333333333333,0.93639475107193,0.113,0.767,0.119,-0.0422,1,non hyperbolic,non hyperbolic,
11103,Danke schön.,1146,Andreas Minnich,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11104,"Liebe Österreicherinnen, liebe Österreicher!",1164,Mag. Peter Weidinger,2.221,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.05655,1.0,0.9063742756843568,0.8,0.2,0.0,0.8398,1,,non hyperbolic,
11105,Sie haben das ein bisschen auch sozusagen ins Lächerliche gezogen.,1190,Katharina Kucharowits,2.5752,0.3413886144815199,0.0112451497086962,0.28494051148129,0.0757126479618479,-0.0643499999999999,-1.0,0.9410413503646852,0.0,0.783,0.217,-0.3612,1,non hyperbolic,non hyperbolic,
11106,Ich verstehe die Angst eigentlich nicht.,1211,Nurten Ylmaz,2.0973333333333333,0.3326065804458153,0.0652526537526584,0.3362255523489979,0.0340701180847896,0.01595,0.0,0.9311776757240297,0.17,0.455,0.375,-0.4215,1,,non hyperbolic,
11107,"Die Bevölkerung könnte dann ja mitbekommen, dass der Präsident den fragenden Abgeordneten unterstellt, dass sie respektlos sind, dass sie etwas unterstellen und so weiter und so fort.",1222,Nurten Ylmaz,2.024481481481481,0.4073516500165527,-0.0607331575384101,0.3411108184999908,-0.0205471199401731,0.0,-0.7999999999999999,0.92324960231781,0.0,0.847,0.153,-0.5434,1,non hyperbolic,non hyperbolic,
11108,"Ich kann nicht verstehen und weiß auch nicht, warum die Grünen Angst davor haben.",1228,Nurten Ylmaz,1.1543571428571429,0.4103338408748531,0.1660489371308386,0.2746360859621866,-0.0244678314256972,0.0,0.0,0.93221515417099,0.0,0.72,0.28,-0.5676,1,,non hyperbolic,
11109,"Ich empfehle Ihnen zwei Leute, mit denen Sie reden sollten, die sich wirklich um Transparenz bemüht haben, der eine ist jetzt Vizekanzler und der andere ist Bundespräsident.",1231,Nurten Ylmaz,1.7427037037037036,0.3959089531977133,-0.124587677496239,0.2672509641013644,-0.0283503967839523,0.0001481481481481,0.0,0.9217029809951782,0.091,0.909,0.0,0.3818,1,,non hyperbolic,
11110,Danke schön.,1264,"Ing. Klaus Lindinger, BSc",2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11111,"Das ist völlig undenkbar, weil die Dinge öffentlich sind.",1298,Dr. Helmut Brandstätter,1.9026666666666665,0.4342318903530192,0.2925622980676782,0.257196852318251,0.10924869971109,0.0,0.0,0.93410325050354,0.0,1.0,0.0,0.0,1,,non hyperbolic,
11112,"Das haben Sie ja gar nicht notwendig, ein Opfer zu sein, Herr Präsident  starker Mann aus Niederösterreich , das verbindet uns doch!",1310,Dr. Helmut Brandstätter,2.472304347826088,0.3837889014308648,0.1096506890176389,0.200293272465264,-0.0146457367640565,0.0003478260869565,0.35,0.9375489950180054,0.224,0.776,0.0,0.6696,1,,non hyperbolic,
11113,"Und wenn man ein starker Mann aus Niederösterreich ist, dann muss man doch nicht sagen: Ich werde gemobbt!",1311,Dr. Helmut Brandstätter,1.8985,0.5186931028183887,0.2367748136569566,0.3095273619106891,-0.0274107809750896,0.0002222222222222,0.7,0.9341565370559692,0.158,0.842,0.0,0.4926,1,,non hyperbolic,
11114,"Mein Gott, das kann schon einmal vorkommen, dass jemand anders anderer Meinung ist, aber das ist ja nicht Mobbing, Herr Präsident!Einigen wir uns doch jetzt zu dieser gar nicht so späten Stunde darauf, dass wir froh sind, dass wir hier ein Parlament haben.",1312,Dr. Helmut Brandstätter,1.8032790697674417,0.4804143323844803,-0.0457658362286671,0.3177520904674071,0.0257138862362171,0.0,0.0,0.9240485429763794,0.073,0.927,0.0,0.5093,1,,non hyperbolic,
11115,"Das glaube ich auch, ja, aber  und die NEOS werden vielleicht bald regieren, ich wünsche es ihnen dringend, in Wien, ebenso anderswo  natürlich ist die Verführung, wenn man regiert, eine andere.",1322,Dr. Helmut Brandstätter,1.574939393939394,0.4468510881939865,-0.0210306471290798,0.2853702947222998,-0.0997217838052501,0.0,0.7,0.9102365374565125,0.099,0.901,0.0,0.5106,1,non hyperbolic,non hyperbolic,
11116,Danke schön.,1326,Dr. Helmut Brandstätter,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
