label,english,german_hand_translated,german_google_translate
1,I've never been so glad to see anyone in my life!,Ich war noch nie in meinem Leben so froh jemanden zu sehen!,"Ich war noch nie so froh, jemanden in meinem Leben zu sehen!"
1,It a disease which threatens to eradicate them all.,Es ist eine Krankheit die droht sie alle auszurotten,"Es ist eine Krankheit, die droht, sie alle auszurotten."
1,He's a perfect philistine.,Er ist der perfekte Philister,Er ist ein perfekter Philister.
1,"No act of kindness, no matter how small, is ever wasted","Keine gute Tat, egal wie klein, ist je eine Verschwendung","Kein Akt der Güte, egal wie klein, wird jemals verschwendet"
1,There is nothing more truly artistic than to love people,Es gibt nichts kunstvolleres als die Liebe zu anderen Menschen,"Es gibt nichts wirklich künstlerischeres, als Menschen zu lieben"
1,Her skull was crammed with too many thoughts.,Ihr Schädel war vollgestopft mit zu vielen Gedanken,Ihr Schädel war mit zu vielen Gedanken zusammengefasst.
1,He was a bureaucrat to the core.,Er war ein Bürokrat bis in seinen Kern,Er war ein Bürokraten im Kern.
1,The sheer audacity of the man took my breath away.,Die schiere Dreistigkeit des Mannes raubte mir den Atem,Die schiere Kühnheit des Mannes holte mir den Atem.
1,They kissed each other with unashamed delight.,Sie küssten sich mit schamlosen Vergnügen,Sie küssten sich gegenseitig mit ungeräuchter Freude.
1,It's hot enough to melt hell!,Es ist heiß genug um die Hölle zu schmelzen!,"Es ist heiß genug, um die Hölle zu schmelzen!"
1,She's as pretty as a picture.,Sie ist bildhübsch,Sie ist so hübsch wie ein Bild.
1,She felt fenced in by domestic routine.,Sie fühlte sich eingezäunt durch die alltägliche Hausarbeit ,Sie fühlte sich von häuslicher Routine eingezäunt.
1,He's a poor liar; anyone can see through him.,"Er ist ein schlechter Lügner, jeder kann durch ihn hindurchsehen",Er ist ein armer Lügner; Jeder kann durch ihn sehen.
1,She's always whingeing about how unfair everything is.,Sie jammert immer darüber wie ungerecht alles ist,"Sie macht immer darüber, wie unfair alles ist."
1,The battle/election was a complete and utter rout.,Die Wahl war eine heillose Niederlage ,Die Schlacht/Wahl war ein vollständiger und völliger Rout.
1,The paddy field becomes the sea of love and joy.,Das Reisfeld wird zum Meer der Freude und Hoffnung,Das Reisfeld wird zum Meer der Liebe und Freude.
1,Latin is a dead language.,Latein ist eine tote Sprache,Latein ist eine tote Sprache.
1,She's an incorrigible flirt!,Sie ist einfach unverbesserlich!,Sie ist ein unverbesserlicher Flirt!
1,That sharp bend is a death-trap for motorists.,Diese scharfe Kurve ist eine Todesfalle für Autofahrer,Diese scharfe Kurve ist eine Todesfalle für Autofahrer.
1,They lived in hourly dread of discovery.,Sie lebten mit der ständigen Furcht entdeckt zu werden,Sie lebten in stündlichen Angst vor Entdeckung.
1,He seems to think he's God's gift to women.,"Er scheint zu denken, dass er Gottes Geschenk an die Frauen ist","Er scheint zu glauben, er sei Gottes Geschenk an Frauen."
1,He was totally without imagination.,Er hatte absolut keine Vorstellungskraft,Er war völlig ohne Vorstellungskraft.
1,They looked at me as if I had taken leave of my senses.,Sie schauten mich an als wäre ich nicht mehr bei Sinnen gewesen,"Sie sahen mich an, als hätte ich meine Sinne verabschiedet."
1,Nothing was divine any more; everything was profane.,"Nichts mehr wahr heilig, alles war gottlos",Nichts war mehr göttlich; Alles war profan.
1,I tried to drag myself out of the morass of despair.,Ich versuchte mich selbst aus dem Morast der Verzweiflung zu ziehen,Ich versuchte mich aus dem Morast der Verzweiflung zu ziehen.
1,All that trading and subterfuge is exhausting.,Der ganze Handel und die ganze Täuschung sind sehr anstrengend,All dieser Handel und die Unterfuge ist anstrengend.
1,He's so angry he's in no fit state to see anyone.,"Er ist so wütend, dass er nicht im Zustand ist um irgendjemanden zu treffen","Er ist so wütend, dass er in keinem fitigen Zustand ist, um jemanden zu sehen."
1,I couldn't repress a sigh of admiration.,Ich konnte meinen Seufzer der Bewunderung nicht unterdrücken,Ich konnte keinen Seufzer der Bewunderung unterdrücken.
1,The beauty of the scenery bedazed all of us.,Die Schönheit der Landschaft benebelte uns alle,Die Schönheit der Landschaft hat uns alle zusammengeschlagen.
1,His remark was meant as a shot at me.,Seine Anmerkung diente einem auf mich bezogenen Angriff ,Seine Bemerkung war als Schuss auf mich gemeint.
1,He would stoop to any device to win a point.,Er würde zu allen Mitteln greifen um etwas zu beweisen,"Er würde sich zu jedem Gerät bücken, um einen Punkt zu gewinnen."
1,Each creak of the house made my heart stand still.,Jedes Knarren im Haus führte bei mir zu einem Herzstillstand,Jedes Knarren des Hauses ließ mein Herz still stehen.
1,Even the presidency was handed to him on a plate.,Selbst die Präsidentschaft wurde ihm auf dem Teller serviert,Sogar die Präsidentschaft wurde ihm auf einem Teller übergeben.
1,His face burned with shame.,Die Verlegenheit war ihm ins Gesicht geschrieben,Sein Gesicht brannte vor Scham.
1,Never was anything at once so frail and so indomitable.,Noch nie war etwas gleichzeitig so zart und so unbeugsam,Nie war etwas auf einmal so gebrechlich und unbezwingbar.
1,Sport became the perfect outlet for his aggression.,Sport wurde das perfekte Ventil für seine Aggressionen,Sport wurde zum perfekten Ausgang für seine Aggression.
1,The rain sliced my neck like a miniature guillotine.,Der Regen schnitt meinen Nacken wie eine kleine Guillotine,Der Regen schnitt meinen Hals wie eine Miniaturguillotine.
1,The place was a powder keg.,Dieser Ort war ein Pulverfass,Der Ort war ein Pulverfass.
1,The answer had come to him in a flash.,Die Antwort kam ihm wie vom Blitz getroffen,Die Antwort war blitzschnell zu ihm gekommen.
1,Her summer collection took the fashion world by storm.,Ihre Sommerkollektion sorgte für großes Aufsehen in der Modewelt,Ihre Sommerkollektion eroberte die Modewelt im Sturm.
1,He's so lazy it's unbelievable.,"Er ist so faul, es ist nicht zu glauben","Er ist so faul, dass es unglaublich ist."
1,The media has made unfeeling voyeurs of all of us.,Die Medien haben uns alle in gefühlskalte Glotzer verwandelt,Die Medien haben von uns allen gefühllosen Voyeuren gemacht.
1,Three times he watched his first mate get blown to bits.,Drei Mal sah er wie sein nautischer Offizier in Einzelteile zerfetzt wurde,"Dreimal sah er zu, wie sein erster Kumpel in Stücke geblasen wurde."
1,She'd do anything to save her own hide.,Sie würde alles tun um sich selbst zu retten,"Sie würde alles tun, um ihr eigenes Versteck zu retten."
1,Chuck's acting like a complete dick.,Chuck verhält sich wie ein kompletter Depp,Chuck benimmt sich wie ein kompletter Schwanz.
1,My grandmother always babbles about trifles.,Meine Oma labert immer über Belanglosigkeiten,Meine Großmutter plappert immer über Kleinigkeiten.
1,What the bloody hell do you think you're doing?,Was zur verdammten Hölle denkst du eigentlich was du da machst?,"Was zum Teufel, den du denkst du, machst du?"
1,I could cheerfully have killed him when he said that .,Ich hätte ihn am liebsten umgebracht als er das gesagt hat,"Ich hätte ihn fröhlich töten können, als er das sagte."
1,Laughter is the sun that drives winter from the human face,"Ein Lächeln ist die Sonne, die den Winter aus dem menschlichen Gesicht vertreibt","Lachen ist die Sonne, die den Winter aus dem menschlichen Gesicht treibt"
1,April hath put a spirit of youth in everything,April hat den Geist der Jugend überall reingebracht,April hat einen Geist der Jugend in alles gesetzt
1,Imagine the abominable age we live in!,Stell dir das abscheuliche Zeitalter vor in dem wir leben!,"Stellen Sie sich das abscheuliche Alter vor, in dem wir leben!"
1,Her mood was blacker than ever.,Ihre Stimmung war getrübter als je zuvor,Ihre Stimmung war schwarzer als je zuvor.
1,The man who never reads lives only one,Der Mann der nicht liest lebt nur ein Leben,"Der Mann, der nie liest, lebt nur einen"
1,She blazed with impotent rage.,Sie brannte vor ohnmächtiger Wut,Sie lud mit impotenter Wut.
1,That decision was sheer stupidity.,Diese Entscheidung war eine reine Dummheit,Diese Entscheidung war schiere Dummheit.
1,Truth is more of a stranger than fiction,Die Wahrheit ist befremdlicher als die Fiktion,Die Wahrheit ist eher ein Fremder als eine Fiktion
1,The icy chill ate into my bones.,Die eisige Kälte biss sich in meine Knochen,Die eisige Kälte aß in meine Knochen.
1,Would that not be fiscal philandering of the worst kind?,Wäre das kein Finanzbetrug der schlechtesten Sorte?,Wäre das nicht steuerliche Philanderung der schlimmsten Art?
1,The state of our roads is a national disgrace.,Der Zustand unserer Straßen ist eine Schande für unser Land,Der Zustand unserer Straßen ist eine nationale Schande.
1,The wise hand doth not all that the foolish mouth speaks,Die weise Hand macht nicht alles was der dumme Mund spricht,"Die weise Hand ist nicht alles, was der dumme Mund spricht"
1,You hit the nail on the head about him: he is a con artist.,"Du hast den Nagel auf den Kopf getroffen im Bezug auf ihn, er ist ein Hochstapler",Du hast den Nagel auf den Kopf über ihn geschlagen: Er ist ein Betrüger.
1,I was so shocked I went numb.,Ich befand mich in Schockstarre,"Ich war so schockiert, dass ich taub wurde."
1,That guy was so creepy that he made my flesh crawl.,"Dieser Typ war so unheimlich, dass ich eine Gänsehaut bekam","Dieser Typ war so gruselig, dass er mein Fleisch kriechen ließ."
1,All the things I can't erase from my life.,"All die Dinge, die ich nicht ungeschehen machen kann","All die Dinge, die ich nicht aus meinem Leben löschen kann."
1,She's the incarnation of everything I hate about politics.,Sie ist der Inbegriff von allem was ich an der Politik hasse,"Sie ist die Inkarnation von allem, was ich an Politik hasse."
1,She has to face the brutal reality.,Sie muss der brutalen Realität ins Auge sehen,Sie muss sich der brutalen Realität stellen.
1,All is fair in love and war,Im Krieg und der Liebe ist alles erlaubt,In der Liebe und im Krieg ist alles erlaubt
1,The 1954 finals verged on the surreal.,Das Finale im Jahr 1954 war beinahe nicht von dieser Welt,Das Finale von 1954 richtete sich auf die Surreal.
1,Tim can mend any broken toy.,Tim kann jedes kaputte Spielzeug reparieren,Tim kann jedes gebrochene Spielzeug reparieren.
1,Can taste the sanctity and wonder of love!,Ich kann die Unantastbarkeit und das Wunder der Liebe kosten,Kann die Heiligkeit und das Wunder der Liebe schmecken!
1,The medicine went through me like a dose of salts.,Die Medizin ging sehr schnell durch mich hindurch,Die Medizin ging wie eine Dosis Salze durch mich.
1,The beauty of the sunset fille everybody with rapture.,Die Schönheit des Sonnenuntergangs erfüllt jeden mit Begeisterung,Die Schönheit des Sonnenuntergangs füllt alle mit Entrückung.
1,I fall in love with you at first sight.,Ich verliebe mich auf den ersten Blick in dich,Ich verliebe mich auf den ersten Blick in dich.
1,Her rude husband bawled for his dinner.,Ihr grober Ehemann grölte nach seinem Abendessen,Ihr unhöflicher Ehemann kochte sich für sein Abendessen.
1,Kanzi has established himself a true primate prodigy.,Kanzi hat sich als ein hochbegabter Primat etabliert,Kanzi hat sich ein wahres Wunderkind für Primaten etabliert.
1,We are broiling in this hot sun!,Wir kochen vor Hitze!,Wir braten in dieser heißen Sonne!
1,His muse pullulated with dizzying speed.,Seine Muse verbreitete sich mit schwindelerregender Geschwindigkeit,Seine Muse zog mit schwindelerregender Geschwindigkeit.
1,He is full of deceit.,Er ist voller Hinterlistigkeit,Er ist voller Betrug.
1,The rain turned our holiday into a veritable disaster.,Der Regen hat unseren Urlaub in ein wahrhaftiges Desaster verwandelt,Der Regen verwandelte unseren Urlaub in eine wahre Katastrophe.
1,Makes the rotten dead sit right up.,Lässt die verfaulten Toten aufrecht sitzen,Lässt die faulen Toten gleich aufs sitzen.
1,Sunday clears away the rust of the whole week,Der Sonntag entfernt den ganzen Rost der sich über die restliche Woche gebildet hat,Der Sonntag räumt den Rost der ganzen Woche weg
1,His eyes glittered with greed.,Seine Augen glänzten vor Gier,Seine Augen glitzerten vor Gier.
1,Her outrageous remarks were/went beyond all reason.,Ihre unverschämten Bemerkungen waren jenseits der Vernunft,Ihre empörenden Bemerkungen wurden/gingen über alle Gründe hinaus.
1,It was sink or swim as a classroom teacher.,Als Lehrer war es ein stetiges fressen oder gefressen werden,Es war Waschbecken oder Schwimmen als Klassenlehrer.
1,I'll remember your kindness to my dying day.,Ich werde mich an deine Freundlichkeit erinnern bis ich sterbe,Ich werde mich an Ihre Freundlichkeit zu meinem sterbenden Tag erinnern.
1,His glassy stare made my flesh creep.,Sein glasiger Blick machte mir Angst,Sein glasiges Blick ließ mein Fleisch kriechen.
1,He looked like a miniature version of his father.,Es sah aus wie die Miniatur seines Vaters,Er sah aus wie eine Miniaturversion seines Vaters.
1,All this mud's going to ruin my shoes.,All dieser Schlamm wird meine Schuhe ruinieren,All dieser Schlamm wird meine Schuhe ruinieren.
1,I muttered like a fractious housewife.,Ich murmelte wie eine mürrische Hausfrau,Ich murmelte wie eine brüchige Hausfrau.
1,Even the staunch Conservative will turn.,Selbst der eiserne Konservative wird sich umentscheiden,Sogar der überzeugte Konservative wird sich wenden.
1,Everyone for himself and let the devil take the hindmost.,Jeder ist sich selbst der Nächste,Jeder für sich selbst und ließ den Teufel das Hinterste nehmen.
1,He's squandered all his savings on drink.,Er verschwendete sein ganzes Geld für Alkohol,Er hat alle seine Ersparnisse beim Getränk verschwendet.
1,Mere words will not fill a bushel,Reden alleine wird den Behälter nicht befüllen,Nur Worte füllen keinen Scheffel
1,I've always been hopeless with machinery.,Ich war immer hoffnungslos überfordert mit den Maschinen,Ich war schon immer hoffnungslos mit Maschinen.
1,"I am just a friend,and she is your everthing.","Ich bin nur ein Freund, sie ist dein Ein und Alles",Ich bin nur eine Freundin und sie ist dein Everhitth.
1,She is a realist through and through.,Sie ist eine Realistin durch und durch,Sie ist eine Realistin durch und durch.
1,Dad will skin you alive when he sees this place!,Vater wird dich bei lebendigem Leibe häuten wenn er das hier sieht!,"Papa wird dich lebendig häuten, wenn er diesen Ort sieht!"
1,Her skin was as white as snow.,Ihre Haut war so weiß wie Schnee,Ihre Haut war so weiß wie Schnee.
1,There's no fool like an old fool,Es gibt keinen Narren der so ist wie ein alter Narr,Es gibt keinen Dummkopf wie einen alten Dummkopf
1,There was a hail of angry words.,Es hagelte wütende Worte,Es gab einen Hagel wütender Worte.
1,For the first time her veneer of politeness began to crack.,Ihre Fassade der Höflichkeit fing das erste Mal an zu zerbrechen,Zum ersten Mal begann ihre Höflichkeit zu knacken.
1,Today her eyes were as dull as a puddle.,Heute waren ihre Augen so trüb wie eine Pfütze,Heute waren ihre Augen so langweilig wie eine Pfütze.
1,I had to run like mad to catch the bus.,Ich musste wie verrückt laufen um den Bus zu erwischen,"Ich musste wie verrückt rennen, um den Bus zu fangen."
1,His essay was a hotchpotch of other people's ideas.,Sein Essay war ein Mischmasch aus den Ideen von anderen Leuten,Sein Aufsatz war ein Hotchpitch der Ideen anderer Leute.
1,Everything you cook for me is a banquet.,Alles was du für mich kochst ist ein Festmahl,"Alles, was Sie für mich kochen, ist ein Bankett."
1,Football hooliganism is now reaching epidemic proportions.,Der Hooliganismus nimmt epidemische Proportionen an,Der Fußball -Hooliganismus erreicht jetzt epidemische Ausmaße.
1,We went out and played like fury.,Wir gingen raus und spielten wie in Rage,Wir gingen raus und spielten wie Wut.
1,Being here is the fulfilment of a lifelong ambition.,Hier zu sein ist die Erfüllung einer lebenslangen Ambition,Hier zu sein ist die Erfüllung eines lebenslangen Ehrgeizes.
1,How you can be so insensitive absolutely beats me.,Wie du so unempfindlich sein kannst macht mich fertig,"Wie Sie so unempfindlich sein können, schlägt mich absolut."
1,Her arrival cast a cloud over the party.,Ihre Ankunft warf einen Schatten auf die Feier,Ihre Ankunft warf eine Wolke über die Party.
1,The next few days were a mad whirl of parties.,Die nächsten paar Tage waren ein verrücktes Gewirbel von Feiern,Die nächsten Tage waren ein verrückter Wirbel von Partys.
1,The exam paper was a piece of cake.,Die Prüfung war ein Kinderspiel,Das Untersuchungspapier war ein Kinderspiel.
1,It's enough to kill any decent woman.,Es ist genug um jede anständige Frau zu töten,"Es ist genug, um jede anständige Frau zu töten."
1,His name will always be twinned with that of our school.,Sein Name wird immer mit dem unserer Schule verwoben sein,Sein Name wird immer mit dem unserer Schule umgezogen werden.
1,We're all living in a vicious circle.,Wir leben alle in einem Teufelskreis,Wir leben alle in einem Teufelskreis.
1,Sitting here with you is heaven.,Hier mit dir zu sitzen ist der Himmel auf Erden,Hier mit dir zu sitzen ist der Himmel.
1,I crawled by my buddy and watched him draw his last breath.,Ich bin zu meinem Freund gekrochen und sah ihm zu als er seinen letzten Atemzug tat,"Ich krabbelte von meinem Kumpel und sah zu, wie er seinen letzten Atemzug zog."
1,I'm sick to death of your endless criticism.,"Ich habe es satt, dass du mich ständig kritisierst",Ich bin zu Tode von Ihrer endlosen Kritik krank.
1,The sales campaign was a total disaster.,Die Verkaufskampagne war ein völlige Katastrophe,Die Verkaufskampagne war eine totale Katastrophe.
1,All paid jobs absorb and degrade the mind,Alle bezahlten Jobs absorbieren und schwächen den Verstand,Alle bezahlten Arbeitsplätze absorbieren und degradieren den Geist
1,That's the funniest thing I've ever heard.,Das ist das Lustigste was ich je gehört habe,"Das ist das lustigste, was ich je gehört habe."
1,He'd run a mile if I asked him to marry me.,Er würde davonlaufen wenn ich ihn Frage ob er mich heiratet,"Er würde eine Meile laufen, wenn ich ihn bat, mich zu heiraten."
1,She is all of a tremble.,Sie zittert am ganzen Körper,Sie ist alles zitternd.
1,The bad news cast a pall over the evening.,Die schlechten Neuigkeiten legten einen Schleier um den Abend,Die schlechte Nachricht warf über den Abend einen Pall.
1,I'm tired of your unending complaints.,Ich habe deine ständigen Beschwerden satt,Ich habe es satt von Ihren unendlichen Beschwerden.
1,His wife waits on him hand and foot.,Seine Frau versorgt ihn mit allem was er will,Seine Frau wartet auf Hand und Fuß.
1,The proposal borders upon the absurd.,Das Angebot grenzt an den Wahnsinn,Der Vorschlag grenzt an das Absurde.
1,Turn off the damn TV!,Dreh den verdammten Fernseher ab!,Schalten Sie den verdammten Fernseher aus!
1,A mountain of melons evaporates in a wink.,Ein Berg voller Melonen verdampft im null Komma nichts,Ein Berg von Melonen verdunstet in einem Augenzwinkern.
1,The idea is stuffed with ironies.,Die Idee ist voller Ironie,Die Idee ist mit Ironien gefüllt.
1,Everything went black in the shocking folds of his embrace.,Alles wurde schwarz durch seine schockierende Erscheinung,Alles wurde schwarz in den schockierenden Falten seiner Umarmung.
1,Life is like an ice cream. Enjoy it before it melts.,Das Leben ist wie Eiscreme. Genieße es bevor es schmilzt,"Das Leben ist wie ein Eis. Genieße es, bevor es schmilzt."
1,Her steadfast belief never left her for one moment.,Ihr festgefahrener Glaube verließ sie nicht mal für einen Moment,Ihr unerschütterlicher Glaube hat sie nie für einen Moment verlassen.
1,His pride and choleric temper were to ruin him.,Sein Stolz und sein cholerisches Gemüt hätten ihn ruiniert,Sein Stolz und sein cholerisches Temperament sollten ihn ruinieren.
1,That's the guy I want to give my heart to.,Das ist der Mann dem ich mein Herz geben will,"Das ist der Typ, dem ich mein Herz geben möchte."
1,The story melted away her soul.,Die Geschichte ließ sie dahinschmelzen,Die Geschichte schmolz ihre Seele weg.
1,I worked my butt off.,Ich hab mir den Arsch aufgerissen,Ich habe meinen Hintern abgeworfen.
1,He was swallowed in darkness.,Er wurde von der Dunkelheit umhüllt,Er wurde in der Dunkelheit verschluckt.
1,You dry up and die in quest of a proof so obscure.,Du vertrocknest und stirbst wenn du etwas derart zweifelhaftes beweisen möchtest,Sie austrocknen und sterben auf der Suche nach einem so dunklen Beweis.
1,They look like stars to the naked eye.,Mit bloßem Auge sehen sie wie Sterne aus,Sie sehen aus wie Sterne zum bloßen Auge.
1,I felt like a pea on a drum.,Ich fühlte mich wie eine Erbse auf der Trommel,Ich fühlte mich wie eine Erbse auf einer Trommel.
1,All day long he does bugger all.,Er macht den ganzen Tag lang absolut nichts,Den ganzen Tag erledigt er alles.
1,She was furious - screaming bloody murder at the manager!,Sie war zornig und schrie den Manager auf extreme Weise an,Sie war wütend - schrie blutiger Mord am Manager!
1,A blank and empty future lay before me.,Eine leere und blasse Zukunft liegt vor mir,Eine leere und leere Zukunft lag vor mir.
1,The impalpable power of faith.,Die ungreifbare Macht des Schicksals,Die unkomplizierbare Kraft des Glaubens.
1,Better a bachelor's life han a slovenly wife.,Besser das Leben eines Junggesellen als eine schlampige Ehefrau,Besser das Leben eines Junggesellenhauses ist eine schlampige Frau.
1,My car goes like a bomb since I put that new engine in it.,Mein Auto geht wie eine Bombe seit ich diesen neuen Motor eingebaut habe,"Mein Auto fährt wie eine Bombe, da ich diesen neuen Motor hineingelegt habe."
1,He was sick as a parrot when his team lost the match.,Er war schwerstens enttäuscht als sein Team das Match verloren hatte,"Er war als Papagei krank, als sein Team das Match verlor."
1,Just a few words will incite him into action.,Er braucht nur ein paar Worte um zum handeln angetrieben zu werden,Nur ein paar Worte werden ihn zum Taten führen.
1,Theres an angel missin from the heaven n tat angel is u!,"Dem Himmel ist ein Engel abhanden gekommen, dieser Engel bist du!",Es gibt einen Engelsmissin vom Himmel und Tat Engel ist du!
1,Pride is the mask of one's own faults,Hochmut macht Blind für die eigenen Schwächen,Stolz ist die Maske der eigenen Fehler
1,She nearly always pulls for the underdog.,Sie hält fast immer auf den Außenseiter,Sie zieht fast immer für den Außenseiter.
1,He is as thin as a rake .,Er ist so dünn wie ein Rechen,Er ist so dünn wie ein Rechen.
1,She always has her head buried in a book.,Sie hat ihren Kopf immer in einem Buch begraben,Sie hat immer ihren Kopf in einem Buch vergraben.
1,Better belly burst than good liquor be lost,Lieber eine Explosion im Magen als der Verlust einer guten Spirituose,Besserer Bauch platzen als gute Alkohol verloren gehen
1,He was boiling over with indignation.,Er kochte über vor Empörung,Er kochte mit Empörung.
1,The heart is enmeshed in brimless sadness.,Das Herz ist in randloser Traurigkeit verstrickt,Das Herz ist in zeitloser Traurigkeit verstrickt.
1,His absence cast a blight over the family.,Seine Abwesendheit wirkte sich negativ auf die Familie aus,Seine Abwesenheit warf die Familie ein.
1,That Sunday is a figment of the world's imagination.,Dieser Sonntag ist ein Produkt der weltlichen Phantasie,Dieser Sonntag ist eine Erfindung der Vorstellungskraft der Welt.
